시도,시군구,제조사,모델,보조금,지역코드
대구광역시,,현대자동차,더뉴아이오닉5 2WD 롱레인지 19인치 빌트인 캠 미적용,907.0,100
대구광역시,,현대자동차,더뉴아이오닉5 2WD 롱레인지 19인치,903.0,100
대구광역시,,현대자동차,더뉴아이오닉5 2WD 롱레인지 20인치,896.0,100
대구광역시,,현대자동차,더뉴아이오닉5 AWD 롱레인지 20인치,857.0,100
대구광역시,,현대자동차,더뉴아이오닉5 AWD 롱레인지 19인치,894.0,100
대구광역시,,현대자동차,더뉴아이오닉5 2WD 롱레인지 N라인 20인치,870.0,100
대구광역시,,현대자동차,더뉴아이오닉5 AWD 롱레인지 N라인 20인치,826.0,100
대구광역시,,현대자동차,Electrified G80 AWD 19인치(2025),393.0,100
대구광역시,,현대자동차,더뉴아이오닉5 2WD 스탠다드 19인치,773.0,100
대구광역시,,현대자동차,Electrified GV70 AWD 20인치(2025),357.0,100
대구광역시,,현대자동차,Electrified GV70 AWD 19인치(2025),380.0,100
대구광역시,,현대자동차,코나 일렉트릭 2WD 롱레인지 17인치(빌트인 캠),848.0,100
대구광역시,,현대자동차,아이오닉9 성능형 AWD,396.0,100
대구광역시,,현대자동차,아이오닉9 항속형 AWD,394.0,100
대구광역시,,현대자동차,아이오닉9 항속형 2WD,399.0,100
대구광역시,,현대자동차,GV60 퍼포먼스 AWD 21인치(2025),354.0,100
대구광역시,,현대자동차,GV60 스탠다드 AWD 20인치(2025),380.0,100
대구광역시,,현대자동차,GV60 스탠다드 AWD 19인치(2025),396.0,100
대구광역시,,현대자동차,GV60 스탠다드 2WD 19인치(2025),415.0,100
대구광역시,,기아,The all-new Kia Niro EV,805.0,100
대구광역시,,기아,EV9 롱레인지 2WD 19인치,393.0,100
대구광역시,,기아,EV9 롱레인지 2WD 20인치,390.0,100
대구광역시,,기아,EV9 롱레인지 4WD 19인치,370.0,100
대구광역시,,기아,EV9 롱레인지 4WD 21인치,379.0,100
대구광역시,,기아,EV9 롱레인지 GTL 4WD 21인치,367.0,100
대구광역시,,기아,더뉴EV6 롱레인지 4WD 20인치,850.0,100
대구광역시,,기아,더뉴EV6 롱레인지 2WD 20인치,889.0,100
대구광역시,,기아,더뉴EV6 롱레인지 4WD 19인치,892.0,100
대구광역시,,기아,더뉴EV6 롱레인지 2WD 19인치,905.0,100
대구광역시,,기아,EV3 롱레인지 2WD 17인치,808.0,100
대구광역시,,기아,EV3 롱레인지 2WD 19인치,808.0,100
대구광역시,,기아,EV3 스탠다드 2WD,685.0,100
대구광역시,,기아,더뉴EV6 GT,332.0,100
대구광역시,,기아,더뉴EV6 스탠다드,802.0,100
대구광역시,,기아,EV9 스탠다드,346.0,100
대구광역시,,기아,EV4 롱레인지 GTL 2WD 19인치,808.0,100
대구광역시,,기아,EV4 스탠다드 2WD 19인치,702.0,100
대구광역시,,기아,EV4 롱레인지 2WD 17인치,808.0,100
대구광역시,,기아,EV4 롱레인지 2WD 19인치,808.0,100
대구광역시,,기아,EV4 스탠다드 2WD 17인치,747.0,100
대구광역시,,BMW,MINI Cooper SE,433.0,100
대구광역시,,BMW,i4 eDrive40,270.0,100
대구광역시,,BMW,i4 M50,246.0,100
대구광역시,,BMW,iX1 xDrive30,220.0,100
대구광역시,,BMW,i4 eDrive40 LCI,267.0,100
대구광역시,,BMW,iX2 eDrive20,238.0,100
대구광역시,,BMW,MINI Countryman SE ALL4,226.0,100
대구광역시,,BMW,MINI Countryman E,237.0,100
대구광역시,,BMW,MINI Aceman SE,437.0,100
대구광역시,,BMW,i4 M50 LCI,253.0,100
대구광역시,,BMW,MINI JCW Aceman E,216.0,100
대구광역시,,BMW,MINI JCW E,210.0,100
대구광역시,,BMW,MINI Aceman E,437.0,100
대구광역시,,테슬라코리아,(단종)Model 3 RWD(2024),261.0,100
대구광역시,,테슬라코리아,Model 3 Long Range,289.0,100
대구광역시,,테슬라코리아,(단종)Model Y RWD,273.0,100
대구광역시,,테슬라코리아,(단종)Model Y Long Range,263.0,100
대구광역시,,테슬라코리아,(단종)Model Y Performance,273.0,100
대구광역시,,테슬라코리아,Model 3 Performance,267.0,100
대구광역시,,테슬라코리아,(단종)Model Y Long Range 19인치,289.0,100
대구광역시,,테슬라코리아,Model 3 RWD,266.0,100
대구광역시,,테슬라코리아,New Model Y Long Range,296.0,100
대구광역시,,테슬라코리아,New Model Y RWD,269.0,100
대구광역시,,메르세데스벤츠코리아,(단종)EQB300 4MATIC(Pre-Facelift)(5인승),217.0,100
대구광역시,,메르세데스벤츠코리아,(단종)EQB300 4MATIC(Pre-Facelift)(7인승),217.0,100
대구광역시,,메르세데스벤츠코리아,EQA250(Facelift),271.0,100
대구광역시,,메르세데스벤츠코리아,EQB300 4MATIC(Facelift)(5인승),220.0,100
대구광역시,,메르세데스벤츠코리아,EQB300 4MATIC(Facelift)(7인승),220.0,100
대구광역시,,폭스바겐그룹코리아,(단종)아우디 Q4 40 e-tron,287.0,100
대구광역시,,폭스바겐그룹코리아,(단종)아우디 Q4 Sportback 40 e-tron,289.0,100
대구광역시,,폭스바겐그룹코리아,(단종)폭스바겐 2024 ID.4 Pro,603.0,100
대구광역시,,폭스바겐그룹코리아,(단종)폭스바겐 ID.5 Pro,307.0,100
대구광역시,,폭스바겐그룹코리아,폭스바겐 ID.4 Pro,603.0,100
대구광역시,,폭스바겐그룹코리아,아우디 Q4 Sportback 45 e-tron,287.0,100
대구광역시,,폭스바겐그룹코리아,아우디 Q4 45 e-tron,287.0,100
대구광역시,,폭스바겐그룹코리아,아우디 Q6 e-tron performance,314.0,100
대구광역시,,케이지모빌리티,토레스 EVX 2WD 18인치,526.0,100
대구광역시,,케이지모빌리티,토레스 EVX 2WD 20인치,502.0,100
대구광역시,,케이지모빌리티,코란도 EV 2WD,486.0,100
대구광역시,,케이지모빌리티,토레스 EVX 18인치,520.0,100
